title,company,rating,locations,min_exp,max_exp,min_ctc,max_ctc,skills,job_profile,job_profile_id,avg_ctc,avg_exp
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Gurugram,5,10,800000.0,880000.0,"DevOps, Python, AWS, Architecture, NAT, Terraform, Infrastructure, System Design, ECS, AWS IAM, Eks, API Gateway, Amazon RDS, KMS, DevOps Automation",Software Engineer,3,840000.0,7.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Gurugram,5,10,800000.0,880000.0,"Software Engineering, SQL, Java, Coding, Javascript, Pega, HTML, CSS, Agile, Spring, Technical Skills, Framework, Pega PRPC, Spring MVC, J2EE, Software Solutions, Application Design",Software Engineer,3,840000.0,7.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Hyderabad,7,12,800000.0,880000.0,"Software Engineering, Architecture, Management, Coding, Javascript, HTML, CSS, Software Development, Agile, Technical Skills, Framework, Rest, Workflow, Web Application, Interfaces, Software Solutions, Components",Software Engineer,3,840000.0,9.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Bengaluru,5,10,800000.0,880000.0,"Software Engineering, Architecture, Coding, Cloud, Programming, Agile, Deployment, Framework, SOA, Interfaces, Application Programming, Software Solutions, Software Quality, Mulesoft Anypoint Platform",Software Engineer,3,840000.0,7.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Ahmedabad,7,12,800000.0,880000.0,"Software Testing, Software Engineering, Coding, SAP ABAP, Software Development, Analytical, Agile, Mdg, Continuous Improvement, Technical Skills, Framework, Software Solutions",Software Engineer,3,840000.0,9.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,2,7,800000.0,880000.0,"Software Engineering, Modeling, Java, Coding, Javascript, HTML, SAP BW, CSS, Software Development, Development, Agile, Data Modeling, Technical Skills, Framework, Debugging, Agile Methodology, Software Solutions",Software Engineer,3,840000.0,4.5
Application Developer,Accenture Solutions Pvt Ltd,3.7,Pune,3,8,1019999.0,1130000.0,"Marketing, Salesforce, Java, Management, HTML, Cloud, Salesforce Marketing Cloud, ASP.NET, CSS, Application Development, Spring, Integration, Technical Skills, jQuery, JSP, Hibernate, Workflow, Business Process",Application Developer,99,1074999.5,5.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Ahmedabad,3,8,800000.0,880000.0,"Software Engineering, Java, Coding, Javascript, HTML, CSS, Agile, Spring, Cobol, Troubleshooting, Technical Skills, Framework, Debugging, jQuery, Hibernate, Code Review, Software Solutions",Software Engineer,3,840000.0,5.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Gurugram,5,10,800000.0,880000.0,"Adobe, Software Engineering, Java, Software Development, Agile, Technical Skills, Workflow, Agile Methodology, Configuration, Software Solutions, Application Design, Software Configuration",Software Engineer,3,840000.0,7.5
AI / ML Engineer,Accenture Solutions Pvt Ltd,3.7,Hyderabad,3,8,1739999.0,1930000.0,"Python, Artificial Intelligence, Architecture, Machine Learning, Microsoft Power BI, Computer Vision, ML, Natural Language Processing, Deep Learning, Chatbot, Tensorflow, Image Processing, Pytorch, Keras",Ai Ml Engineer,71603921,1834999.5,5.5
Full Stack Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,5,10,700000.0,810000.0,"Python, AWS, Artificial Intelligence, Java, Backend, Front End, Kubernetes, Javascript, HTML, Django, CSS, Microsoft Azure, Full Stack, Studio, Spring, TypeScript, Flask, Orchestration, Hibernate, Redux, Struts",Full Stack Engineer,50299,755000.0,7.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Nagpur,2,5,800000.0,880000.0,"Software Testing, Software Engineering, Web Development, Coding, Servicenow, Analytics, Javascript, HTML, CSS, Software Development, Agile, Scrum, Web Technologies, Time Management, Ajax, Software Solutions, Performance Analytics",Software Engineer,3,840000.0,3.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Gurugram,3,8,800000.0,880000.0,"Software Engineering, SQL, SAP BusinessObjects, Automation, Software Development, Troubleshooting, Transformation, Data Integration, Scripting, Data Services",Software Engineer,3,840000.0,5.5
AI / ML Engineer,Accenture Solutions Pvt Ltd,3.7,Mumbai,3,8,1739999.0,1930000.0,"Data Science, Python, Artificial Intelligence, Machine Learning, ML, Natural Language Processing, Deep Learning, Chatbot, Tensorflow, Image Processing, Neural Networks, Pytorch, Keras",Ai Ml Engineer,71603921,1834999.5,5.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Gurugram,2,7,800000.0,880000.0,"Software Testing, Software Engineering, Engineering, Machine Learning, Java, Coding, Data, ML, Software Development, Agile, Continuous Improvement, Technical Skills, Framework, Algorithms, Workflow, Software Solutions",Software Engineer,3,840000.0,4.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Ahmedabad,5,10,800000.0,880000.0,"Software Engineering, SQL, Java, Warehouse Management, SAP EWM, Software Development, Agile, Business Analysis, Process, Technical Skills, Requirement Gathering, Software Solutions",Software Engineer,3,840000.0,7.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,7,12,800000.0,880000.0,"Software Engineering, Java, Coding, Javascript, HTML, Cloud, CSS, API, Agile, Deployment, Technical Skills, Framework, Workflow, Mule ESB, Software Solutions, Software Quality, Mulesoft Anypoint Platform",Software Engineer,3,840000.0,9.5
Data Engineer,Accenture Solutions Pvt Ltd,3.7,Indore,7,12,810000.0,890000.0,"Warehouse, Data Engineering, Python, AWS, SQL, Modeling, Snowflake, Cloud, Data, ETL, Big Data, Spark, Data Architecture, Hadoop, Data Warehousing, Data Modeling, Hive, Data Quality, Amazon Redshift, Workflow, Data Pipeline",Data Engineer,2153,850000.0,9.5
Data Scientist - Onsite Interview Mandate,Cardinal Health,4.3,Bengaluru,6,9,2660000.0,3979999.0,"Data Science, Python, Machine Learning, generative ai, Predictive Analytics, Predictive Modeling, Statistical Modeling",Data Scientist,11,3319999.5,7.5
Data Scientist,Cardinal Health,4.3,Bengaluru,6,9,2500000.0,4000000.0,"Data Science, Python, Machine Learning, Natural Language Processing, Deep Learning",Data Scientist,11,3250000.0,7.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Hyderabad,7,12,800000.0,880000.0,"SAP, Software Engineering, Java, Javascript, HTML, Spring Boot, CSS, Development, SAP Fiori, Spring, Technical Skills, Framework, Hibernate, Spring MVC, J2EE, Web Services, Rest, Application Design",Software Engineer,3,840000.0,9.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Mumbai,2,7,800000.0,880000.0,"Software Engineering, Java, Coding, Javascript, HTML, Communication Skills, Agile, Continuous Improvement, Technical Skills, Framework, Functional, Software Design, Workflow, Agile Methodology, Software Solutions",Software Engineer,3,840000.0,4.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Bengaluru,5,10,800000.0,880000.0,"Software Engineering, Data Engineering, Architecture, Coding, Design, Automation, Software Development, Microsoft Azure, Data Processing, Azure Databricks, Agile, Deployment, Framework, Scripting, Software Solutions, Software Quality",Software Engineer,3,840000.0,7.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,3,8,800000.0,880000.0,"SAP, Software Engineering, Cloud, Database Management, Software Development, Application Development, Communication Skills, Agile, Data Modeling, Technical Skills, Agile Methodology, Software Solutions",Software Engineer,3,840000.0,5.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Hyderabad,3,8,800000.0,880000.0,"Software Engineering, SQL, Coding, Informatica, ETL, Informatica Powercenter, Agile, Framework, Data Integration, Software Design, Workflow, Agile Methodology, Data Transformation, Software Solutions",Software Engineer,3,840000.0,5.5
Data Engineer,Accenture Solutions Pvt Ltd,3.7,Hyderabad,3,8,810000.0,890000.0,"Data Analytics, Data Engineering, Python, AWS, SQL, Analytics, ETL, Automation, Big Data, Spark, Data Bricks, Data Processing, Hadoop, Data Flow, Hive, Integration, Data Quality, Scripting, Workflow, Data Ingestion",Data Engineer,2153,850000.0,5.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Bengaluru,3,8,800000.0,880000.0,"SAP, Software Engineering, .NET, Architecture, Java, Coding, Javascript, HTML, Database Management, CSS, SAP Basis Administration, Agile, Technical Skills, Framework, jQuery, Code Review, Performance Tuning, System Architecture, Software Solutions",Software Engineer,3,840000.0,5.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,15,20,800000.0,880000.0,"Software Engineering, Access Points, Coding, Google Maps, Design, Agile, Continuous Integration, Troubleshooting, Deployment, Debugging, Software Solutions, Agile Software Development",Software Engineer,3,840000.0,17.5
Software Development Engineer,Accenture Solutions Pvt Ltd,3.7,Hyderabad,3,8,810000.0,890000.0,"Excel, Java, Coding, Javascript, HTML, MS Office, CSS, Software Development, Payments, Problem Solving, Word, Agile, Technical Skills, Payment Processing, Workflow, Fundamentals, Agile Methodology",Software Engineer,217,850000.0,5.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,2,7,800000.0,880000.0,"Software Testing, Software, Automation Testing, Github, Jenkins, Selenium, JIRA, Agile, Karate, Framework, System Programming, Scripting, Mocha, SOAP UI, Data Studio",Software Engineer,3,840000.0,4.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,5,10,800000.0,880000.0,"Software Engineering, Java, Coding, Servicenow, Javascript, HTML, Operations Management, CSS, Service Management, Agile, Spring, Technical Skills, Framework, jQuery, Workflow, Software Solutions",Software Engineer,3,840000.0,7.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,5,10,800000.0,880000.0,"Software Testing, Software Engineering, Oracle, Coding, Cloud, API, HCM, Oracle HCM Cloud, Application Lifecycle Management, Continuous Improvement, Debugging, Performance Tuning, Application Software, Software Solutions",Software Engineer,3,840000.0,7.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,3,8,800000.0,880000.0,"Software Engineering, Warehouse, Python, SQL, Cloud Computing, Java, Snowflake, Informatica, Cloud, Database Management, Data, SQL Server, ETL, Data Warehousing, Data Modeling, Troubleshooting, Technical Skills, Workflow, Code Review",Software Engineer,3,840000.0,5.5
Data Engineer,Accenture Solutions Pvt Ltd,3.7,Bengaluru,3,8,810000.0,890000.0,"Data Analytics, Data Engineering, Analytics, ETL, Data Bricks, Microsoft Azure, Pyspark, Data Governance, Azure Databricks, Data Migration, Data Integration, Data Quality, Workflow",Data Engineer,2153,850000.0,5.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Hyderabad,3,8,800000.0,880000.0,"Software Engineering, .NET, Java, Coding, Javascript, HTML, CSS, C#, Communication Skills, Agile, Spring, Cobol, Technical Skills, Framework, jQuery, Hibernate, Software Design, Agile Methodology, Software Solutions",Software Engineer,3,840000.0,5.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,3,8,800000.0,880000.0,"Software Engineering, Management, Software Development, Teamcenter, Communication Skills, Technical Skills, Configuration Management, Customization, Software Solutions",Software Engineer,3,840000.0,5.5
